event,start,end,hours,peak
growing 200 L pH outside 5.5–6.5,2026-06-28 19:20:00+07:00,2026-06-28 19:40:00+07:00,0.5,5.49
xy_md_23 (room) RH > 85 %,2026-06-28 18:20:00+07:00,2026-06-28 21:20:00+07:00,3.2,93.75
xy_md_21 (room) RH > 85 %,2026-06-28 18:20:00+07:00,2026-06-28 21:20:00+07:00,3.2,92.45
xy_md_22 (room) RH > 85 %,2026-06-28 18:20:00+07:00,2026-06-28 21:20:00+07:00,3.2,94.4
nursery-2 100 L pH outside 5.5–6.5,2026-06-28 12:20:00+07:00,2026-06-28 17:00:00+07:00,4.8,5.5
growing 200 L pH outside 5.5–6.5,2026-06-28 11:10:00+07:00,2026-06-28 11:40:00+07:00,0.7,5.5
xy_md_21 (room) RH > 85 %,2026-06-28 06:20:00+07:00,2026-06-28 08:10:00+07:00,2.0,93.9
xy_md_23 (room) RH > 85 %,2026-06-28 06:20:00+07:00,2026-06-28 08:10:00+07:00,2.0,93.75
xy_md_22 (room) RH > 85 %,2026-06-28 06:20:00+07:00,2026-06-28 08:10:00+07:00,2.0,94.5
xy_md_22 (room) RH > 85 %,2026-06-28 05:20:00+07:00,2026-06-28 06:00:00+07:00,0.8,94.5
xy_md_23 (room) RH > 85 %,2026-06-28 05:20:00+07:00,2026-06-28 06:00:00+07:00,0.8,93.25
xy_md_21 (room) RH > 85 %,2026-06-28 05:20:00+07:00,2026-06-28 05:50:00+07:00,0.7,94.0
xy_md_23 (room) RH > 85 %,2026-06-28 02:30:00+07:00,2026-06-28 05:00:00+07:00,2.7,94.6
xy_md_22 (room) RH > 85 %,2026-06-28 02:30:00+07:00,2026-06-28 05:00:00+07:00,2.7,95.0
xy_md_21 (room) RH > 85 %,2026-06-28 02:20:00+07:00,2026-06-28 05:00:00+07:00,2.8,93.55
growing 200 L pH outside 5.5–6.5,2026-06-28 01:50:00+07:00,2026-06-28 02:30:00+07:00,0.8,5.5
xy_md_22 (room) RH > 85 %,2026-06-28 01:20:00+07:00,2026-06-28 02:00:00+07:00,0.8,94.65
xy_md_21 (room) RH > 85 %,2026-06-28 01:20:00+07:00,2026-06-28 02:00:00+07:00,0.8,93.6
xy_md_23 (room) RH > 85 %,2026-06-28 01:20:00+07:00,2026-06-28 02:00:00+07:00,0.8,93.4
nursery-2 100 L pH outside 5.5–6.5,2026-06-28 00:10:00+07:00,2026-06-28 03:10:00+07:00,3.2,5.5
xy_md_23 (room) RH > 85 %,2026-06-27 23:00:00+07:00,2026-06-28 01:00:00+07:00,2.2,93.9
xy_md_22 (room) RH > 85 %,2026-06-27 23:00:00+07:00,2026-06-28 01:00:00+07:00,2.2,94.4
xy_md_21 (room) RH > 85 %,2026-06-27 23:00:00+07:00,2026-06-28 00:50:00+07:00,2.0,92.4
growing 200 L pH outside 5.5–6.5,2026-06-27 21:50:00+07:00,2026-06-27 22:20:00+07:00,0.7,5.49
xy_md_23 (room) RH > 85 %,2026-06-27 21:40:00+07:00,2026-06-27 22:30:00+07:00,1.0,93.05
xy_md_22 (room) RH > 85 %,2026-06-27 21:40:00+07:00,2026-06-27 22:30:00+07:00,1.0,94.4
xy_md_21 (room) RH > 85 %,2026-06-27 21:40:00+07:00,2026-06-27 22:30:00+07:00,1.0,93.2
growing 200 L pH outside 5.5–6.5,2026-06-27 18:20:00+07:00,2026-06-27 18:40:00+07:00,0.5,5.49
xy_md_23 (room) RH > 85 %,2026-06-27 18:10:00+07:00,2026-06-27 21:10:00+07:00,3.2,93.8
xy_md_21 (room) RH > 85 %,2026-06-27 18:10:00+07:00,2026-06-27 21:10:00+07:00,3.2,92.6
xy_md_22 (room) RH > 85 %,2026-06-27 18:10:00+07:00,2026-06-27 21:10:00+07:00,3.2,94.4
nursery-2 100 L pH outside 5.5–6.5,2026-06-27 18:00:00+07:00,2026-06-27 18:30:00+07:00,0.7,5.5
growing 200 L pH outside 5.5–6.5,2026-06-27 15:10:00+07:00,2026-06-27 15:30:00+07:00,0.5,5.49
nursery-2 100 L pH outside 5.5–6.5,2026-06-27 13:40:00+07:00,2026-06-27 17:40:00+07:00,4.2,5.49
growing 200 L pH outside 5.5–6.5,2026-06-27 09:40:00+07:00,2026-06-27 10:00:00+07:00,0.5,5.49
xy_md_22 (room) RH > 85 %,2026-06-27 07:00:00+07:00,2026-06-27 08:10:00+07:00,1.3,93.15
xy_md_21 (room) RH > 85 %,2026-06-27 07:00:00+07:00,2026-06-27 08:10:00+07:00,1.3,91.8
xy_md_23 (room) RH > 85 %,2026-06-27 07:00:00+07:00,2026-06-27 08:10:00+07:00,1.3,92.15
xy_md_23 (room) RH > 85 %,2026-06-27 06:10:00+07:00,2026-06-27 06:40:00+07:00,0.7,92.15
xy_md_21 (room) RH > 85 %,2026-06-27 06:00:00+07:00,2026-06-27 06:40:00+07:00,0.8,93.45
xy_md_22 (room) RH > 85 %,2026-06-27 06:00:00+07:00,2026-06-27 06:40:00+07:00,0.8,94.4
xy_md_23 (room) RH > 85 %,2026-06-27 05:20:00+07:00,2026-06-27 05:40:00+07:00,0.5,91.95
xy_md_21 (room) RH > 85 %,2026-06-27 05:20:00+07:00,2026-06-27 05:40:00+07:00,0.5,93.3
xy_md_22 (room) RH > 85 %,2026-06-27 05:20:00+07:00,2026-06-27 05:40:00+07:00,0.5,94.25
nursery-2 100 L pH outside 5.5–6.5,2026-06-27 04:30:00+07:00,2026-06-27 06:50:00+07:00,2.5,5.5
growing 200 L pH outside 5.5–6.5,2026-06-27 03:20:00+07:00,2026-06-27 03:40:00+07:00,0.5,5.5
xy_md_22 (room) RH > 85 %,2026-06-27 03:00:00+07:00,2026-06-27 05:00:00+07:00,2.2,94.2
xy_md_23 (room) RH > 85 %,2026-06-27 03:00:00+07:00,2026-06-27 05:00:00+07:00,2.2,93.4
xy_md_21 (room) RH > 85 %,2026-06-27 03:00:00+07:00,2026-06-27 05:00:00+07:00,2.2,92.3
xy_md_23 (room) RH > 85 %,2026-06-27 02:10:00+07:00,2026-06-27 02:40:00+07:00,0.7,91.65
xy_md_21 (room) RH > 85 %,2026-06-27 02:10:00+07:00,2026-06-27 02:40:00+07:00,0.7,93.05
xy_md_22 (room) RH > 85 %,2026-06-27 02:10:00+07:00,2026-06-27 02:40:00+07:00,0.7,93.9
xy_md_23 (room) RH > 85 %,2026-06-27 01:20:00+07:00,2026-06-27 01:40:00+07:00,0.5,91.55
xy_md_21 (room) RH > 85 %,2026-06-27 01:20:00+07:00,2026-06-27 01:40:00+07:00,0.5,92.8
xy_md_22 (room) RH > 85 %,2026-06-27 01:20:00+07:00,2026-06-27 01:40:00+07:00,0.5,93.8
growing 200 L pH outside 5.5–6.5,2026-06-27 00:00:00+07:00,2026-06-27 00:30:00+07:00,0.7,5.49
xy_md_22 (room) RH > 85 %,2026-06-26 23:10:00+07:00,2026-06-27 01:00:00+07:00,2.0,93.45
xy_md_23 (room) RH > 85 %,2026-06-26 23:10:00+07:00,2026-06-27 01:00:00+07:00,2.0,92.8
xy_md_21 (room) RH > 85 %,2026-06-26 23:10:00+07:00,2026-06-27 00:50:00+07:00,1.8,91.6
growing 200 L pH outside 5.5–6.5,2026-06-26 21:20:00+07:00,2026-06-26 21:50:00+07:00,0.7,5.5
xy_md_21 (room) RH > 85 %,2026-06-26 21:00:00+07:00,2026-06-26 22:40:00+07:00,1.8,91.15
xy_md_22 (room) RH > 85 %,2026-06-26 20:50:00+07:00,2026-06-26 22:40:00+07:00,2.0,92.95
xy_md_23 (room) RH > 85 %,2026-06-26 20:50:00+07:00,2026-06-26 22:40:00+07:00,2.0,91.3
nursery-2 100 L pH outside 5.5–6.5,2026-06-26 20:40:00+07:00,2026-06-26 23:00:00+07:00,2.5,5.49
growing 200 L pH outside 5.5–6.5,2026-06-26 18:50:00+07:00,2026-06-26 19:10:00+07:00,0.5,5.49
growing 200 L pH outside 5.5–6.5,2026-06-26 14:40:00+07:00,2026-06-26 15:00:00+07:00,0.5,5.5
nursery-2 100 L pH outside 5.5–6.5,2026-06-26 14:30:00+07:00,2026-06-26 16:10:00+07:00,1.8,5.49
growing 200 L pH outside 5.5–6.5,2026-06-26 12:40:00+07:00,2026-06-26 13:00:00+07:00,0.5,5.5
xy_md_22 (room) RH > 85 %,2026-06-26 11:50:00+07:00,2026-06-26 12:10:00+07:00,0.5,91.05
xy_md_23 (room) RH > 85 %,2026-06-26 11:50:00+07:00,2026-06-26 12:10:00+07:00,0.5,90.25
xy_md_21 (room) RH > 85 %,2026-06-26 11:10:00+07:00,2026-06-26 11:30:00+07:00,0.5,89.0
xy_md_23 (room) RH > 85 %,2026-06-26 11:10:00+07:00,2026-06-26 11:30:00+07:00,0.5,89.75
xy_md_22 (room) RH > 85 %,2026-06-26 10:40:00+07:00,2026-06-26 11:30:00+07:00,1.0,90.7
growing 200 L pH outside 5.5–6.5,2026-06-26 10:20:00+07:00,2026-06-26 10:40:00+07:00,0.5,5.5
nursery-2 100 L pH outside 5.5–6.5,2026-06-26 09:30:00+07:00,2026-06-26 11:40:00+07:00,2.3,5.5
growing 200 L pH outside 5.5–6.5,2026-06-26 08:00:00+07:00,2026-06-26 08:20:00+07:00,0.5,5.49
xy_md_23 (room) RH > 85 %,2026-06-26 06:10:00+07:00,2026-06-26 09:00:00+07:00,3.0,95.3
xy_md_21 (room) RH > 85 %,2026-06-26 06:10:00+07:00,2026-06-26 09:00:00+07:00,3.0,94.4
xy_md_22 (room) RH > 85 %,2026-06-26 06:10:00+07:00,2026-06-26 09:00:00+07:00,3.0,95.5
xy_md_22 (room) RH > 85 %,2026-06-26 05:20:00+07:00,2026-06-26 05:50:00+07:00,0.7,95.7
xy_md_21 (room) RH > 85 %,2026-06-26 05:20:00+07:00,2026-06-26 05:50:00+07:00,0.7,94.5
xy_md_23 (room) RH > 85 %,2026-06-26 05:20:00+07:00,2026-06-26 05:50:00+07:00,0.7,94.75
xy_md_23 (room) RH > 85 %,2026-06-26 02:10:00+07:00,2026-06-26 05:00:00+07:00,3.0,95.95
xy_md_21 (room) RH > 85 %,2026-06-26 02:10:00+07:00,2026-06-26 05:00:00+07:00,3.0,94.15
xy_md_22 (room) RH > 85 %,2026-06-26 02:10:00+07:00,2026-06-26 05:00:00+07:00,3.0,96.15
nursery-2 100 L pH outside 5.5–6.5,2026-06-26 02:00:00+07:00,2026-06-26 04:10:00+07:00,2.3,5.5
xy_md_21 (room) RH > 85 %,2026-06-26 01:20:00+07:00,2026-06-26 01:50:00+07:00,0.7,94.15
xy_md_22 (room) RH > 85 %,2026-06-26 01:20:00+07:00,2026-06-26 01:50:00+07:00,0.7,95.15
xy_md_23 (room) RH > 85 %,2026-06-26 01:20:00+07:00,2026-06-26 01:50:00+07:00,0.7,94.5
growing 200 L pH outside 5.5–6.5,2026-06-25 23:50:00+07:00,2026-06-26 00:10:00+07:00,0.5,5.5
xy_md_22 (room) RH > 85 %,2026-06-25 21:40:00+07:00,2026-06-26 01:00:00+07:00,3.5,95.85
xy_md_21 (room) RH > 85 %,2026-06-25 21:40:00+07:00,2026-06-26 01:00:00+07:00,3.5,93.7
xy_md_23 (room) RH > 85 %,2026-06-25 21:40:00+07:00,2026-06-26 01:00:00+07:00,3.5,95.7
nursery-2 100 L pH outside 5.5–6.5,2026-06-25 19:20:00+07:00,2026-06-25 21:50:00+07:00,2.7,5.5
xy_md_23 (room) RH > 85 %,2026-06-25 18:30:00+07:00,2026-06-25 21:20:00+07:00,3.0,94.45
xy_md_21 (room) RH > 85 %,2026-06-25 18:30:00+07:00,2026-06-25 21:20:00+07:00,3.0,92.75
xy_md_22 (room) RH > 85 %,2026-06-25 18:20:00+07:00,2026-06-25 21:20:00+07:00,3.2,94.95
nursery-2 100 L pH outside 5.5–6.5,2026-06-25 14:40:00+07:00,2026-06-25 16:00:00+07:00,1.5,5.49
nursery-2 100 L pH outside 5.5–6.5,2026-06-25 09:40:00+07:00,2026-06-25 12:20:00+07:00,2.8,5.5
xy_md_23 (room) RH > 85 %,2026-06-25 07:00:00+07:00,2026-06-25 08:40:00+07:00,1.8,92.5
xy_md_22 (room) RH > 85 %,2026-06-25 07:00:00+07:00,2026-06-25 08:40:00+07:00,1.8,93.1
xy_md_21 (room) RH > 85 %,2026-06-25 07:00:00+07:00,2026-06-25 08:40:00+07:00,1.8,91.15
xy_md_23 (room) RH > 85 %,2026-06-25 06:10:00+07:00,2026-06-25 06:40:00+07:00,0.7,91.4
xy_md_22 (room) RH > 85 %,2026-06-25 06:10:00+07:00,2026-06-25 06:40:00+07:00,0.7,93.5
xy_md_21 (room) RH > 85 %,2026-06-25 06:00:00+07:00,2026-06-25 06:40:00+07:00,0.8,93.15
xy_md_21 (room) RH > 85 %,2026-06-25 05:20:00+07:00,2026-06-25 05:40:00+07:00,0.5,92.9
xy_md_22 (room) RH > 85 %,2026-06-25 05:20:00+07:00,2026-06-25 05:40:00+07:00,0.5,93.3
xy_md_21 (room) RH > 85 %,2026-06-25 03:00:00+07:00,2026-06-25 05:00:00+07:00,2.2,91.55
xy_md_23 (room) RH > 85 %,2026-06-25 03:00:00+07:00,2026-06-25 05:00:00+07:00,2.2,92.9
xy_md_22 (room) RH > 85 %,2026-06-25 03:00:00+07:00,2026-06-25 05:00:00+07:00,2.2,93.55
xy_md_21 (room) RH > 85 %,2026-06-25 02:10:00+07:00,2026-06-25 02:30:00+07:00,0.5,92.9
xy_md_22 (room) RH > 85 %,2026-06-25 02:10:00+07:00,2026-06-25 02:30:00+07:00,0.5,93.2
xy_md_23 (room) RH > 85 %,2026-06-25 02:10:00+07:00,2026-06-25 02:30:00+07:00,0.5,91.1
xy_md_21 (room) RH > 85 %,2026-06-25 01:20:00+07:00,2026-06-25 01:40:00+07:00,0.5,92.7
xy_md_22 (room) RH > 85 %,2026-06-25 01:20:00+07:00,2026-06-25 01:40:00+07:00,0.5,93.0
nursery-2 100 L pH outside 5.5–6.5,2026-06-25 01:20:00+07:00,2026-06-25 06:10:00+07:00,5.0,5.5
xy_md_23 (room) RH > 85 %,2026-06-24 22:30:00+07:00,2026-06-25 01:00:00+07:00,2.7,92.65
xy_md_22 (room) RH > 85 %,2026-06-24 22:20:00+07:00,2026-06-25 01:00:00+07:00,2.8,93.35
xy_md_21 (room) RH > 85 %,2026-06-24 22:20:00+07:00,2026-06-25 00:50:00+07:00,2.7,91.25
xy_md_23 (room) RH > 85 %,2026-06-24 21:30:00+07:00,2026-06-24 21:50:00+07:00,0.5,88.5
xy_md_21 (room) RH > 85 %,2026-06-24 21:20:00+07:00,2026-06-24 21:50:00+07:00,0.7,89.9
xy_md_22 (room) RH > 85 %,2026-06-24 21:20:00+07:00,2026-06-24 21:50:00+07:00,0.7,90.55
nursery-2 100 L pH outside 5.5–6.5,2026-06-24 21:00:00+07:00,2026-06-24 23:20:00+07:00,2.5,5.49
xy_md_21 (room) RH > 85 %,2026-06-24 20:30:00+07:00,2026-06-24 20:50:00+07:00,0.5,86.4
xy_md_23 (room) RH > 85 %,2026-06-24 20:20:00+07:00,2026-06-24 20:50:00+07:00,0.7,87.7
xy_md_22 (room) RH > 85 %,2026-06-24 20:20:00+07:00,2026-06-24 20:50:00+07:00,0.7,88.6
nursery-2 100 L |EC − setpoint| > 0.3,2026-06-24 16:30:00+07:00,2026-06-24 18:10:00+07:00,1.8,1.03
growing 200 L |EC − setpoint| > 0.3,2026-06-24 16:30:00+07:00,2026-06-25 00:50:00+07:00,8.5,1.08
nursery-2 100 L pH outside 5.5–6.5,2026-06-23 16:40:00+07:00,2026-06-24 18:30:00+07:00,26.0,8.34
nursery-2 100 L |EC − setpoint| > 0.3,2026-06-23 16:40:00+07:00,2026-06-24 14:30:00+07:00,22.0,0.42
growing 200 L pH outside 5.5–6.5,2026-06-23 16:40:00+07:00,2026-06-25 15:20:00+07:00,46.8,7.22
nursery-2 100 L pH outside 5.5–6.5,2026-06-20 07:40:00+07:00,2026-06-23 15:30:00+07:00,80.0,8.46
nursery-2 100 L |EC − setpoint| > 0.3,2026-06-20 07:40:00+07:00,2026-06-23 15:30:00+07:00,80.0,0.4
growing 200 L pH outside 5.5–6.5,2026-06-20 07:40:00+07:00,2026-06-23 15:30:00+07:00,80.0,4.47
nursery-2 100 L |EC − setpoint| > 0.3,2026-06-19 23:30:00+07:00,2026-06-20 07:20:00+07:00,8.0,0.41
growing 200 L pH outside 5.5–6.5,2026-06-19 23:30:00+07:00,2026-06-20 07:20:00+07:00,8.0,4.45
nursery-2 100 L pH outside 5.5–6.5,2026-06-19 23:30:00+07:00,2026-06-20 07:20:00+07:00,8.0,8.35
nursery-2 100 L pH outside 5.5–6.5,2026-06-19 22:10:00+07:00,2026-06-19 23:10:00+07:00,1.2,8.36
nursery-2 100 L |EC − setpoint| > 0.3,2026-06-19 22:10:00+07:00,2026-06-19 23:10:00+07:00,1.2,0.39
growing 200 L pH outside 5.5–6.5,2026-06-19 21:10:00+07:00,2026-06-19 23:10:00+07:00,2.2,4.45
nursery-2 100 L pH outside 5.5–6.5,2026-06-19 21:10:00+07:00,2026-06-19 21:50:00+07:00,0.8,8.36
nursery-2 100 L |EC − setpoint| > 0.3,2026-06-19 21:10:00+07:00,2026-06-19 21:50:00+07:00,0.8,0.43
growing 200 L pH outside 5.5–6.5,2026-06-19 18:50:00+07:00,2026-06-19 20:50:00+07:00,2.2,4.47
nursery-2 100 L pH outside 5.5–6.5,2026-06-19 18:50:00+07:00,2026-06-19 20:50:00+07:00,2.2,8.38
nursery-2 100 L |EC − setpoint| > 0.3,2026-06-19 18:50:00+07:00,2026-06-19 20:50:00+07:00,2.2,0.39
growing 200 L pH outside 5.5–6.5,2026-06-19 16:30:00+07:00,2026-06-19 17:30:00+07:00,1.2,4.46
nursery-2 100 L |EC − setpoint| > 0.3,2026-06-19 16:30:00+07:00,2026-06-19 17:30:00+07:00,1.2,0.43
nursery-2 100 L pH outside 5.5–6.5,2026-06-19 16:30:00+07:00,2026-06-19 17:30:00+07:00,1.2,8.3
nursery-2 100 L |EC − setpoint| > 0.3,2026-06-19 15:20:00+07:00,2026-06-19 15:40:00+07:00,0.5,0.4
nursery-2 100 L pH outside 5.5–6.5,2026-06-19 15:20:00+07:00,2026-06-19 15:40:00+07:00,0.5,8.28
growing 200 L pH outside 5.5–6.5,2026-06-19 15:20:00+07:00,2026-06-19 16:10:00+07:00,1.0,4.46
nursery-2 100 L |EC − setpoint| > 0.3,2026-06-19 13:50:00+07:00,2026-06-19 15:00:00+07:00,1.3,0.42
growing 200 L pH outside 5.5–6.5,2026-06-19 13:50:00+07:00,2026-06-19 15:00:00+07:00,1.3,4.46
nursery-2 100 L pH outside 5.5–6.5,2026-06-19 13:50:00+07:00,2026-06-19 15:00:00+07:00,1.3,8.28
nursery-2 100 L |EC − setpoint| > 0.3,2026-06-19 13:00:00+07:00,2026-06-19 13:30:00+07:00,0.7,0.37
nursery-2 100 L pH outside 5.5–6.5,2026-06-19 13:00:00+07:00,2026-06-19 13:30:00+07:00,0.7,8.28
growing 200 L pH outside 5.5–6.5,2026-06-19 11:00:00+07:00,2026-06-19 13:30:00+07:00,2.7,4.46
nursery-2 100 L pH outside 5.5–6.5,2026-06-19 11:00:00+07:00,2026-06-19 12:10:00+07:00,1.3,8.3
nursery-2 100 L |EC − setpoint| > 0.3,2026-06-19 11:00:00+07:00,2026-06-19 12:10:00+07:00,1.3,0.38
nursery-2 100 L pH outside 5.5–6.5,2026-06-16 09:10:00+07:00,2026-06-19 09:10:00+07:00,72.2,8.56
nursery-2 100 L |EC − setpoint| > 0.3,2026-06-16 09:10:00+07:00,2026-06-19 09:10:00+07:00,72.2,0.43
nursery-2 100 L pH outside 5.5–6.5,2026-06-15 15:30:00+07:00,2026-06-16 08:50:00+07:00,17.5,8.33
nursery-2 100 L |EC − setpoint| > 0.3,2026-06-15 15:30:00+07:00,2026-06-16 08:50:00+07:00,17.5,0.43
nursery-2 100 L |EC − setpoint| > 0.3,2026-06-15 14:40:00+07:00,2026-06-15 15:10:00+07:00,0.7,0.4
growing 200 L pH outside 5.5–6.5,2026-06-15 12:40:00+07:00,2026-06-19 09:10:00+07:00,92.7,4.47
nursery-2 100 L pH outside 5.5–6.5,2026-06-15 12:20:00+07:00,2026-06-15 15:10:00+07:00,3.0,8.59
nursery-2 100 L pH outside 5.5–6.5,2026-01-06 13:30:00+07:00,2026-01-06 14:30:00+07:00,1.2,9.47
growing 200 L pH outside 5.5–6.5,2026-01-06 09:10:00+07:00,2026-01-06 16:20:00+07:00,7.3,9.78
